id,seasonNum,episodeNum,sceneNum,sceneStartTime,sceneEndTime,sceneLocation,sceneSubLocation,characterName
0,1,1,1,0:00:40,0:01:45,The Wall,Castle Black,Gared
1,1,1,1,0:00:40,0:01:45,The Wall,Castle Black,Waymar Royce
2,1,1,1,0:00:40,0:01:45,The Wall,Castle Black,Will
3,1,1,2,0:01:45,0:03:24,North of the Wall,The Haunted Forest,Gared
4,1,1,2,0:01:45,0:03:24,North of the Wall,The Haunted Forest,Waymar Royce
5,1,1,2,0:01:45,0:03:24,North of the Wall,The Haunted Forest,Will
6,1,1,3,0:03:24,0:03:31,North of the Wall,The Haunted Forest,Will
7,1,1,3,0:03:24,0:03:31,North of the Wall,The Haunted Forest,Wight Wildling Girl
8,1,1,4,0:03:31,0:03:38,North of the Wall,The Haunted Forest,Will
9,1,1,5,0:03:38,0:03:44,North of the Wall,The Haunted Forest,
10,1,1,6,0:03:44,0:05:36,North of the Wall,The Haunted Forest,Gared
11,1,1,6,0:03:44,0:05:36,North of the Wall,The Haunted Forest,Waymar Royce
12,1,1,6,0:03:44,0:05:36,North of the Wall,The Haunted Forest,Will
13,1,1,7,0:05:36,0:05:41,North of the Wall,The Haunted Forest,Will
14,1,1,8,0:05:41,0:05:48,North of the Wall,The Haunted Forest,Gared
15,1,1,8,0:05:41,0:05:48,North of the Wall,The Haunted Forest,Waymar Royce
16,1,1,9,0:05:48,0:05:58,North of the Wall,The Haunted Forest,Will
17,1,1,10,0:05:58,0:06:21,North of the Wall,The Haunted Forest,Gared
18,1,1,10,0:05:58,0:06:21,North of the Wall,The Haunted Forest,Waymar Royce
19,1,1,10,0:05:58,0:06:21,North of the Wall,The Haunted Forest,White Walker
20,1,1,11,0:06:21,0:06:39,North of the Wall,The Haunted Forest,Will
21,1,1,12,0:06:39,0:06:49,North of the Wall,The Haunted Forest,Will
22,1,1,12,0:06:39,0:06:49,North of the Wall,The Haunted Forest,Wight Wildling Girl
23,1,1,13,0:06:49,0:07:45,North of the Wall,The Haunted Forest,Will
24,1,1,13,0:06:49,0:07:45,North of the Wall,The Haunted Forest,Gared
25,1,1,13,0:06:49,0:07:45,North of the Wall,The Haunted Forest,White Walker
26,1,1,14,0:09:27,0:12:38,The North,Winterfell,Will
27,1,1,14,0:09:27,0:12:38,The North,Winterfell,Jon Snow
28,1,1,14,0:09:27,0:12:38,The North,Winterfell,Bran Stark
29,1,1,14,0:09:27,0:12:38,The North,Winterfell,Robb Stark
30,1,1,14,0:09:27,0:12:38,The North,Winterfell,Eddard Stark
31,1,1,14,0:09:27,0:12:38,The North,Winterfell,Catelyn Stark
32,1,1,14,0:09:27,0:12:38,The North,Winterfell,Rickon Stark
33,1,1,14,0:09:27,0:12:38,The North,Winterfell,Sansa Stark
34,1,1,14,0:09:27,0:12:38,The North,Winterfell,Arya Stark
35,1,1,14,0:09:27,0:12:38,The North,Winterfell,Theon Greyjoy
36,1,1,14,0:09:27,0:12:38,The North,Winterfell,Rodrik Cassel
37,1,1,14,0:09:27,0:12:38,The North,Winterfell,Septa Mordane
